PRODUCT,STORE,DATE,ORDER_QTY,PRODUCT_TYPE,DIVISION,
P1 1L,S1,1/13/2019,486.4,SEASONAL,EAST,
P1 1L,S1,6/9/2019,768,SEASONAL,EAST,
P1 1L,S1,11/3/2019,256,SEASONAL,EAST,
P1 1L,S1,1/26/2020,396.8,SEASONAL,EAST,
P1 1L,S1,4/5/2020,242.1280788,SEASONAL,EAST,
P1 1L,S1,1/24/2021,768,SEASONAL,EAST,
P1 1L,S1,3/7/2021,614.4,SEASONAL,EAST,
P1 1L,S1,5/2/2021,640,SEASONAL,EAST,
P1 1L,S1,9/12/2021,2176,SEASONAL,EAST,
P1 1L,S1,12/12/2021,115.2,SEASONAL,EAST,
P1 1L,S1,7/28/2019,1728,SEASONAL,WEST,
P1 1L,S1,9/22/2019,0,SEASONAL,WEST,
P1 1L,S1,6/7/2020,896,SEASONAL,WEST,
P1 1L,S1,11/1/2020,0,SEASONAL,WEST,
P1 1L,S1,12/20/2020,0,SEASONAL,WEST,
P1 1L,S1,10/10/2021,19.2,SEASONAL,WEST,
P1 1L,S1,1/6/2019,115.2,SEASONAL,NORTH,
P1 1L,S1,1/13/2019,217.6,SEASONAL,NORTH,
P1 1L,S1,2/10/2019,172.8,SEASONAL,NORTH,
P1 1L,S1,8/4/2019,5171.2,SEASONAL,NORTH,
P1 1L,S1,10/4/2020,894.7602096,SEASONAL,NORTH,
P1 1L,S1,3/28/2021,1158.4,SEASONAL,NORTH,
P1 1L,S1,8/8/2021,4864,SEASONAL,NORTH,
P1 1L,S1,10/10/2021,985.6,SEASONAL,NORTH,
P1 500ML,S1,3/3/2019,1716.48,SEASONAL,WEST,
P1 500ML,S1,6/30/2019,46844.16,SEASONAL,WEST,
P1 500ML,S1,3/15/2020,1583.36,SEASONAL,WEST,
P1 500ML,S1,11/8/2020,778.194012,SEASONAL,WEST,
P1 500ML,S1,12/6/2020,704,SEASONAL,WEST,
P1 500ML,S1,4/25/2021,14849.28,SEASONAL,WEST,
P1 500ML,S1,10/10/2021,2117.12,SEASONAL,WEST,
P1 500ML,S1,11/21/2021,990.72,SEASONAL,WEST,
P1 500ML,S1,1/9/2022,345.6,SEASONAL,WEST,
P1 500ML,S1,12/16/2018,0,SEASONAL,SOUTH,
P1 500ML,S1,7/7/2019,395.52,SEASONAL,SOUTH,
P1 500ML,S1,12/22/2019,69.12,SEASONAL,SOUTH,
P1 500ML,S1,4/12/2020,368.64,SEASONAL,SOUTH,
P1 500ML,S1,7/19/2020,750.08,SEASONAL,SOUTH,
P1 500ML,S1,1/17/2021,103.68,SEASONAL,SOUTH,
P1 500ML,S1,4/4/2021,380.16,SEASONAL,SOUTH,
P1 500ML,S1,4/18/2021,587.52,SEASONAL,SOUTH,
P1 500ML,S1,10/24/2021,185.6,SEASONAL,SOUTH,
P1 500ML,S1,10/31/2021,34.56,SEASONAL,SOUTH,
P2 4L,S1,3/24/2019,343.04,CONTINUOUS,WEST,
P2 4L,S1,7/19/2020,0,CONTINUOUS,WEST,
P2 4L,S1,1/31/2021,5.12,CONTINUOUS,WEST,
P2 4L,S1,3/28/2021,7.68,CONTINUOUS,WEST,
P2 4L,S1,6/6/2021,0,CONTINUOUS,WEST,
P2 4L,S1,11/11/2018,320,CONTINUOUS,EAST,
P2 4L,S1,8/25/2019,524.8,CONTINUOUS,EAST,
P2 4L,S1,9/20/2020,650.24,CONTINUOUS,EAST,
P2 4L,S1,11/22/2020,688.64,CONTINUOUS,EAST,
P2 4L,S1,3/14/2021,668.16,CONTINUOUS,EAST,
P2 4L,S1,6/27/2021,522.24,CONTINUOUS,EAST,
P2 4L,S1,10/31/2021,0,CONTINUOUS,EAST,
P1 1L,S1,7/21/2019,2880,SEASONAL,EAST,
P1 1L,S1,5/10/2020,614.4,SEASONAL,EAST,
P1 1L,S1,8/30/2020,2329.6,SEASONAL,EAST,
P1 1L,S1,2/14/2021,294.4,SEASONAL,EAST,
P1 1L,S1,2/21/2021,563.2,SEASONAL,EAST,
P1 1L,S1,5/9/2021,2496,SEASONAL,EAST,
P1 1L,S1,5/16/2021,870.4,SEASONAL,EAST,
P1 1L,S1,10/10/2021,435.2,SEASONAL,EAST,
P1 1L,S1,1/16/2022,1308.988235,SEASONAL,EAST,
P1 1L,S1,4/19/2020,0,SEASONAL,WEST,
P1 1L,S1,4/11/2021,691.2,SEASONAL,WEST,
P1 1L,S1,5/16/2021,902.4,SEASONAL,WEST,
P1 1L,S1,5/30/2021,787.2,SEASONAL,WEST,
P1 1L,S1,8/22/2021,1184,SEASONAL,WEST,
P1 1L,S1,9/5/2021,563.2,SEASONAL,WEST,
P1 1L,S1,10/17/2021,38.4,SEASONAL,WEST,
P1 1L,S1,11/21/2021,0,SEASONAL,WEST,
P1 1L,S1,12/2/2018,332.8,SEASONAL,NORTH,
P1 1L,S1,4/14/2019,2080,SEASONAL,NORTH,
P1 1L,S1,8/11/2019,4179.2,SEASONAL,NORTH,
P1 1L,S1,2/23/2020,435.2,SEASONAL,NORTH,
P1 1L,S1,3/14/2021,448,SEASONAL,NORTH,
P1 1L,S1,3/21/2021,1292.8,SEASONAL,NORTH,
P1 1L,S1,1/9/2022,262.4,SEASONAL,NORTH,
P1 500ML,S1,12/23/2018,436.48,SEASONAL,WEST,
P1 500ML,S1,2/10/2019,627.2,SEASONAL,WEST,
P1 500ML,S1,6/16/2019,23937.28,SEASONAL,WEST,
P1 500ML,S1,7/7/2019,34291.2,SEASONAL,WEST,
P1 500ML,S1,10/13/2019,1568,SEASONAL,WEST,
P1 500ML,S1,12/8/2019,756.48,SEASONAL,WEST,
P1 500ML,S1,2/23/2020,2001.92,SEASONAL,WEST,
P1 500ML,S1,3/8/2020,2351.36,SEASONAL,WEST,
P1 500ML,S1,5/3/2020,18376.96,SEASONAL,WEST,
P1 500ML,S1,3/21/2021,1685.067393,SEASONAL,WEST,
P1 500ML,S1,1/23/2022,556.7513924,SEASONAL,WEST,
P1 500ML,S1,11/18/2018,34.56,SEASONAL,SOUTH,
P1 500ML,S1,1/20/2019,80.64,SEASONAL,SOUTH,
P1 500ML,S1,4/14/2019,437.76,SEASONAL,SOUTH,
P1 500ML,S1,9/1/2019,433.92,SEASONAL,SOUTH,
P1 500ML,S1,9/15/2019,176.64,SEASONAL,SOUTH,
P1 500ML,S1,10/20/2019,161.28,SEASONAL,SOUTH,
P1 500ML,S1,12/29/2019,103.68,SEASONAL,SOUTH,
P1 500ML,S1,8/23/2020,407.04,SEASONAL,SOUTH,
P1 500ML,S1,10/4/2020,46.08,SEASONAL,SOUTH,
P1 500ML,S1,11/1/2020,115.2,SEASONAL,SOUTH,
P1 500ML,S1,8/22/2021,540.16,SEASONAL,SOUTH,
P1 500ML,S1,12/26/2021,0,SEASONAL,SOUTH,
P2 4L,S1,11/11/2018,291.84,CONTINUOUS,WEST,
P2 4L,S1,2/3/2019,430.08,CONTINUOUS,WEST,
P2 4L,S1,6/16/2019,151.04,CONTINUOUS,WEST,
P2 4L,S1,7/14/2019,327.68,CONTINUOUS,WEST,
P2 4L,S1,12/8/2019,368.64,CONTINUOUS,WEST,
P2 4L,S1,2/9/2020,110.5371429,CONTINUOUS,WEST,
P2 4L,S1,2/16/2020,166.8594872,CONTINUOUS,WEST,
P2 4L,S1,3/8/2020,209.940813,CONTINUOUS,WEST,
P2 4L,S1,5/17/2020,0,CONTINUOUS,WEST,
P2 4L,S1,7/18/2021,0,CONTINUOUS,WEST,
P2 4L,S1,11/4/2018,330.24,CONTINUOUS,EAST,
P2 4L,S1,11/10/2019,296.96,CONTINUOUS,EAST,
P2 4L,S1,7/5/2020,483.84,CONTINUOUS,EAST,
P2 4L,S1,2/7/2021,428.3458065,CONTINUOUS,EAST,
P2 4L,S1,2/28/2021,629.2097196,CONTINUOUS,EAST,
P2 4L,S1,11/7/2021,0,CONTINUOUS,EAST,
P2 4L,S1,11/28/2021,0,CONTINUOUS,EAST,
P1 1L,S1,3/10/2019,697.6,SEASONAL,EAST,
